date,weekday,high_f,low_f,precip_in,cloud_pct,sunrise,sunset,conditions
2015-08-26,Wed,81,70,0.02,71,6:37 AM,7:47 PM,Light drizzle
2015-08-27,Thu,80,67,0.0,82,6:38 AM,7:46 PM,Overcast
2015-08-28,Fri,82,63,0.0,28,6:38 AM,7:45 PM,Partly cloudy
2015-08-29,Sat,84,63,0.0,75,6:39 AM,7:43 PM,Overcast
2015-08-30,Sun,86,66,0.0,93,6:40 AM,7:42 PM,Overcast
2015-08-31,Mon,75,70,0.41,92,6:41 AM,7:40 PM,Rain
2015-09-01,Tue,86,68,0.0,64,6:41 AM,7:39 PM,Overcast
2015-09-02,Wed,91,71,0.01,60,6:42 AM,7:37 PM,Light drizzle
2015-09-03,Thu,90,71,0.0,44,6:43 AM,7:36 PM,Light drizzle
2015-09-04,Fri,90,71,0.01,61,6:44 AM,7:35 PM,Light drizzle
2015-09-05,Sat,82,71,0.01,46,6:45 AM,7:33 PM,Light drizzle
2015-09-06,Sun,77,68,0.21,88,6:45 AM,7:32 PM,Heavy drizzle
2015-09-07,Mon,85,68,0.02,87,6:46 AM,7:30 PM,Light drizzle
2015-09-08,Tue,85,70,0.0,61,6:47 AM,7:29 PM,Overcast
2015-09-09,Wed,88,73,0.0,50,6:48 AM,7:27 PM,Light drizzle
2015-09-10,Thu,85,73,0.59,94,6:49 AM,7:26 PM,Rain
2015-09-11,Fri,83,68,0.0,55,6:49 AM,7:24 PM,Overcast
2015-09-12,Sat,80,69,0.18,85,6:50 AM,7:23 PM,Heavy drizzle
2015-09-13,Sun,75,64,0.0,53,6:51 AM,7:21 PM,Overcast
2015-09-14,Mon,75,55,0.0,0,6:52 AM,7:20 PM,Clear
2015-09-15,Tue,80,56,0.0,5,6:52 AM,7:18 PM,Mostly clear
2015-09-16,Wed,80,57,0.0,76,6:53 AM,7:17 PM,Overcast
2015-09-17,Thu,82,61,0.0,54,6:54 AM,7:15 PM,Overcast
2015-09-18,Fri,84,59,0.0,1,6:55 AM,7:14 PM,Clear
2015-09-19,Sat,85,64,0.0,32,6:56 AM,7:12 PM,Overcast
2015-09-20,Sun,84,65,0.0,68,6:56 AM,7:11 PM,Overcast
2015-09-21,Mon,77,69,0.0,98,6:57 AM,7:09 PM,Light drizzle
2015-09-22,Tue,77,66,0.01,92,6:58 AM,7:08 PM,Light drizzle
2015-09-23,Wed,78,67,0.0,99,6:59 AM,7:06 PM,Overcast
2015-09-24,Thu,79,64,0.01,99,7:00 AM,7:05 PM,Light drizzle
2015-09-25,Fri,69,65,2.11,100,7:00 AM,7:03 PM,Rain
2015-09-26,Sat,69,65,1.81,99,7:01 AM,7:02 PM,Rain
2015-09-27,Sun,76,66,0.11,94,7:02 AM,7:00 PM,Drizzle
2015-09-28,Mon,79,69,0.48,100,7:03 AM,6:59 PM,Rain
2015-09-29,Tue,79,71,0.61,99,7:04 AM,6:57 PM,Rain
2015-09-30,Wed,81,70,0.26,91,7:04 AM,6:56 PM,Light rain
2015-10-01,Thu,68,59,0.19,100,7:05 AM,6:54 PM,Heavy drizzle
2015-10-02,Fri,59,57,2.39,100,7:06 AM,6:53 PM,Heavy rain
2015-10-03,Sat,76,57,0.24,98,7:07 AM,6:51 PM,Drizzle
2015-10-04,Sun,68,64,0.24,100,7:08 AM,6:50 PM,Drizzle
2015-10-05,Mon,66,59,0.08,94,7:09 AM,6:48 PM,Drizzle
2015-10-06,Tue,71,55,0.0,40,7:09 AM,6:47 PM,Overcast
2015-10-07,Wed,77,55,0.0,58,7:10 AM,6:46 PM,Overcast
2015-10-08,Thu,77,59,0.0,49,7:11 AM,6:44 PM,Light drizzle
2015-10-09,Fri,79,62,0.0,46,7:12 AM,6:43 PM,Overcast
2015-10-10,Sat,69,58,0.11,98,7:13 AM,6:41 PM,Light drizzle
2015-10-11,Sun,70,53,0.0,14,7:14 AM,6:40 PM,Overcast
2015-10-12,Mon,74,54,0.0,10,7:15 AM,6:39 PM,Mostly clear
2015-10-13,Tue,75,61,0.0,28,7:16 AM,6:37 PM,Overcast
2015-10-14,Wed,72,58,0.0,14,7:16 AM,6:36 PM,Partly cloudy
